x,y,edition_count,geo_tiff_count,tile_id
76,-33,2,2,3276
76,-34,1,1,3376
76,-35,1,1,3476
76,-36,1,1,3576
76,-37,2,2,3676
76,-38,3,3,3776
76,-39,2,2,3876
76,-40,2,2,3976
76,-41,2,2,4076
76,-42,5,5,4176
76,-43,6,6,4276
76,-44,6,6,4376
76,-45,6,6,4476
76,-46,1,1,4576
76,-47,5,5,4676
76,-48,7,6,4776
76,-49,10,9,4876
76,-50,6,6,4976
76,-51,5,5,5076
76,-52,1,1,5176
76,-53,6,6,5276
76,-54,4,4,5376
76,-55,5,5,5476
76,-56,7,7,5576
76,-57,7,7,5676
76,-58,6,6,5776
76,-59,7,7,5876
77,-35,1,1,3477
77,-36,1,1,3577
77,-37,1,1,3677
77,-41,1,1,4077
77,-42,1,1,4177
77,-43,3,3,4277
77,-47,1,1,4677
77,-48,2,2,4777
77,-49,1,1,4877
77,-50,6,6,4977
77,-51,1,1,5077
77,-52,1,1,5177
77,-53,1,1,5277
77,-54,2,2,5377
77,-55,1,1,5477
77,-56,7,7,5577
77,-57,5,5,5677
77,-58,5,5,5777
77,-59,1,1,5877
